envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
472	3432000	3864000	3264000	2904000	3504000	3624000	
473	3453000	3861000	3261000	2901000	3501000	3741000	
474	3450000	3858000	3258000	2898000	3498000	3738000	
475	3471000	3855000	3255000	2895000	3615000	3735000	
476	3492000	3852000	3252000	2892000	3612000	3852000	
477	3489000	3849000	3249000	2889000	3609000	3849000	
478	3510000	3846000	3246000	2886000	3606000	3966000	
479	3507000	3843000	3243000	2883000	3603000	3963000	
480	3528000	3960000	3240000	2880000	3600000	3960000	
481	3525000	3957000	3237000	2877000	3597000	3957000	
482	3522000	3954000	3234000	2874000	3594000	3954000	
483	3543000	3951000	3231000	2871000	3591000	4071000	
484	3564000	3948000	3228000	2868000	3708000	4068000	
485	3561000	3945000	3225000	2865000	3705000	4065000	
486	3606000	3942000	3222000	2862000	3822000	4182000	
487	3603000	3939000	3219000	2859000	3819000	4179000	
488	3648000	3936000	3336000	2856000	3936000	4176000	
489	3645000	3933000	3333000	2853000	3933000	4173000	
490	3642000	3930000	3330000	2850000	3930000	4170000	
491	3663000	3927000	3327000	2967000	3927000	4167000	
492	3684000	3924000	3324000	2964000	4044000	4164000	
493	3705000	3921000	3441000	2961000	4041000	4161000	
494	3702000	3918000	3438000	2958000	4038000	4158000	
495	3699000	3915000	3435000	2955000	4035000	4155000	
496	3696000	3912000	3432000	2952000	4032000	4152000	
497	3741000	3909000	3549000	2949000	4029000	4269000	
498	3738000	3906000	3546000	2946000	4026000	4266000	
499	3759000	3903000	3663000	2943000	4023000	4263000	
500	3756000	3900000	3660000	2940000	4020000	4260000	
501	3753000	3897000	3657000	2937000	4017000	4257000	
502	3750000	3894000	3654000	2934000	4014000	4254000	
503	3747000	3891000	3651000	2931000	4011000	4251000	
504	3768000	3888000	3768000	2928000	4008000	4248000	
505	3813000	3885000	3885000	3045000	4005000	4245000	
506	3834000	3882000	3882000	3042000	4122000	4242000	
507	3831000	3879000	3879000	3039000	4119000	4239000	
508	3852000	3996000	3876000	3036000	4116000	4236000	
509	3873000	4113000	3873000	3033000	4113000	4233000	
510	3894000	4110000	3870000	3030000	4110000	4350000	
511	3891000	4107000	3867000	3027000	4107000	4347000	
512	3912000	4104000	3864000	3144000	4104000	4344000	
513	3909000	4101000	3861000	3141000	4101000	4341000	
514	3906000	4098000	3858000	3138000	4098000	4338000	
515	3903000	4095000	3855000	3135000	4095000	4335000	
516	3924000	4092000	3852000	3132000	4092000	4452000	
517	3945000	4209000	3849000	3129000	4089000	4449000	
518	3966000	4206000	3846000	3246000	4086000	4446000	
519	3963000	4203000	3843000	3243000	4083000	4443000	
520	4008000	4320000	3840000	3240000	4080000	4560000	
521	4029000	4317000	3957000	3237000	4077000	4557000	
522	4050000	4314000	3954000	3234000	4194000	4554000	
523	4071000	4311000	3951000	3231000	4191000	4671000	
524	4140000	4428000	3948000	3348000	4308000	4668000	
525	4161000	4425000	3945000	3345000	4305000	4785000	
526	4158000	4422000	3942000	3342000	4302000	4782000	
527	4155000	4419000	3939000	3339000	4299000	4779000	
528	4200000	4416000	4056000	3456000	4296000	4776000	
529	4197000	4413000	4053000	3453000	4293000	4773000	
530	4194000	4410000	4050000	3450000	4290000	4770000	
531	4191000	4407000	4047000	3447000	4287000	4767000	
532	4188000	4404000	4044000	3444000	4284000	4764000	
533	4185000	4401000	4041000	3441000	4281000	4761000	
534	4206000	4398000	4038000	3438000	4278000	4878000	
535	4203000	4395000	4035000	3435000	4275000	4875000	
536	4248000	4392000	4032000	3552000	4272000	4992000	
537	4245000	4389000	4029000	3549000	4269000	4989000	
538	4242000	4386000	4026000	3546000	4266000	4986000	
539	4263000	4383000	4023000	3543000	4383000	4983000	
540	4260000	4380000	4020000	3540000	4380000	4980000	
541	4281000	4377000	4017000	3657000	4377000	4977000	
542	4278000	4374000	4014000	3654000	4374000	4974000	
543	4299000	4371000	4011000	3771000	4371000	4971000	
544	4320000	4368000	4128000	3768000	4368000	4968000	
545	4341000	4365000	4245000	3765000	4365000	4965000	
