envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
488	4176000	3696000	4776000	3816000	4296000	4296000	
489	4197000	3693000	4773000	3813000	4413000	4293000	
490	4242000	3690000	4770000	3930000	4530000	4290000	
491	4239000	3687000	4767000	3927000	4527000	4287000	
492	4236000	3684000	4764000	3924000	4524000	4284000	
493	4233000	3681000	4761000	3921000	4521000	4281000	
494	4230000	3678000	4758000	3918000	4518000	4278000	
495	4251000	3675000	4755000	3915000	4515000	4395000	
496	4248000	3672000	4752000	3912000	4512000	4392000	
497	4245000	3669000	4749000	3909000	4509000	4389000	
498	4338000	3786000	4866000	3906000	4626000	4506000	
499	4359000	3903000	4863000	3903000	4623000	4503000	
500	4356000	3900000	4860000	3900000	4620000	4500000	
501	4353000	3897000	4857000	3897000	4617000	4497000	
502	4350000	3894000	4854000	3894000	4614000	4494000	
503	4347000	3891000	4851000	3891000	4611000	4491000	
504	4344000	3888000	4848000	3888000	4608000	4488000	
505	4341000	3885000	4845000	3885000	4605000	4485000	
506	4338000	3882000	4842000	3882000	4602000	4482000	
507	4383000	3879000	4839000	3999000	4719000	4479000	
508	4380000	3876000	4836000	3996000	4716000	4476000	
509	4401000	3873000	4833000	4113000	4713000	4473000	
510	4398000	3870000	4830000	4110000	4710000	4470000	
511	4419000	3867000	4947000	4107000	4707000	4467000	
512	4488000	3984000	5064000	4104000	4704000	4584000	
513	4485000	3981000	5061000	4101000	4701000	4581000	
514	4530000	4098000	5058000	4218000	4698000	4578000	
515	4527000	4095000	5055000	4215000	4695000	4575000	
516	4524000	4092000	5052000	4212000	4692000	4572000	
517	4521000	4089000	5049000	4209000	4689000	4569000	
518	4566000	4086000	5046000	4326000	4806000	4566000	
519	4563000	4083000	5043000	4323000	4803000	4563000	
520	4584000	4200000	5040000	4320000	4800000	4560000	
521	4581000	4197000	5037000	4317000	4797000	4557000	
522	4602000	4194000	5034000	4314000	4914000	4554000	
523	4599000	4191000	5031000	4311000	4911000	4551000	
524	4620000	4188000	5028000	4308000	4908000	4668000	
525	4641000	4185000	5025000	4425000	4905000	4665000	
526	4662000	4182000	5022000	4422000	5022000	4662000	
527	4683000	4299000	5019000	4419000	5019000	4659000	
528	4704000	4416000	5016000	4416000	5016000	4656000	
529	4749000	4413000	5133000	4413000	5013000	4773000	
530	4746000	4410000	5130000	4410000	5010000	4770000	
531	4743000	4407000	5127000	4407000	5007000	4767000	
532	4740000	4404000	5124000	4404000	5004000	4764000	
533	4761000	4521000	5121000	4401000	5001000	4761000	
534	4758000	4518000	5118000	4398000	4998000	4758000	
535	4779000	4515000	5115000	4395000	4995000	4875000	
536	4776000	4512000	5112000	4392000	4992000	4872000	
537	4821000	4509000	5229000	4389000	4989000	4989000	
538	4842000	4506000	5226000	4506000	4986000	4986000	
539	4839000	4503000	5223000	4503000	4983000	4983000	
540	4836000	4500000	5220000	4500000	4980000	4980000	
541	4857000	4497000	5217000	4617000	4977000	4977000	
542	4926000	4614000	5334000	4734000	4974000	4974000	
