envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
442	3834000	3714000	4074000	3954000	3594000	3834000	
443	3831000	3711000	4071000	3951000	3591000	3831000	
444	3828000	3708000	4068000	3948000	3588000	3828000	
445	3849000	3705000	4065000	3945000	3705000	3825000	
446	3870000	3822000	4062000	3942000	3702000	3822000	
447	3891000	3819000	4059000	3939000	3699000	3939000	
448	3888000	3816000	4056000	3936000	3696000	3936000	
449	3885000	3813000	4053000	3933000	3693000	3933000	
450	3930000	3930000	4050000	3930000	3690000	4050000	
451	3951000	3927000	4047000	3927000	3687000	4167000	
452	3972000	3924000	4044000	3924000	3804000	4164000	
453	3969000	3921000	4041000	3921000	3801000	4161000	
454	3990000	3918000	4038000	3918000	3798000	4278000	
455	3987000	3915000	4035000	3915000	3795000	4275000	
456	3984000	3912000	4032000	3912000	3792000	4272000	
457	4005000	3909000	4029000	3909000	3909000	4269000	
458	4026000	3906000	4026000	4026000	3906000	4266000	
459	4023000	3903000	4023000	4023000	3903000	4263000	
460	4020000	3900000	4020000	4020000	3900000	4260000	
461	4017000	3897000	4017000	4017000	3897000	4257000	
462	4062000	3894000	4014000	4014000	4014000	4374000	
463	4059000	3891000	4011000	4011000	4011000	4371000	
464	4080000	3888000	4128000	4008000	4008000	4368000	
465	4077000	3885000	4125000	4005000	4005000	4365000	
466	4074000	3882000	4122000	4002000	4002000	4362000	
467	4071000	3879000	4119000	3999000	3999000	4359000	
468	4068000	3876000	4116000	3996000	3996000	4356000	
469	4065000	3873000	4113000	3993000	3993000	4353000	
470	4062000	3870000	4110000	3990000	3990000	4350000	
471	4083000	3867000	4227000	3987000	3987000	4347000	
472	4080000	3864000	4224000	3984000	3984000	4344000	
473	4077000	3861000	4221000	3981000	3981000	4341000	
474	4098000	3858000	4218000	3978000	4098000	4338000	
475	4095000	3855000	4215000	3975000	4095000	4335000	
476	4092000	3852000	4212000	3972000	4092000	4332000	
477	4089000	3849000	4209000	3969000	4089000	4329000	
478	4086000	3846000	4206000	3966000	4086000	4326000	
479	4083000	3843000	4203000	3963000	4083000	4323000	
480	4080000	3840000	4200000	3960000	4080000	4320000	
481	4077000	3837000	4197000	3957000	4077000	4317000	
482	4098000	3834000	4194000	4074000	4074000	4314000	
483	4095000	3831000	4191000	4071000	4071000	4311000	
484	4116000	3828000	4308000	4068000	4068000	4308000	
485	4113000	3825000	4305000	4065000	4065000	4305000	
486	4134000	3822000	4302000	4062000	4182000	4302000	
487	4155000	3819000	4299000	4059000	4299000	4299000	
488	4176000	3936000	4296000	4056000	4296000	4296000	
489	4173000	3933000	4293000	4053000	4293000	4293000	
490	4194000	3930000	4290000	4050000	4290000	4410000	
491	4191000	3927000	4287000	4047000	4287000	4407000	
492	4188000	3924000	4284000	4044000	4284000	4404000	
493	4185000	3921000	4281000	4041000	4281000	4401000	
494	4206000	3918000	4278000	4038000	4278000	4518000	
495	4203000	3915000	4275000	4035000	4275000	4515000	
496	4224000	3912000	4392000	4032000	4272000	4512000	
497	4221000	3909000	4389000	4029000	4269000	4509000	
498	4218000	3906000	4386000	4026000	4266000	4506000	
499	4215000	3903000	4383000	4023000	4263000	4503000	
500	4212000	3900000	4380000	4020000	4260000	4500000	
501	4257000	4017000	4377000	4017000	4377000	4497000	
502	4254000	4014000	4374000	4014000	4374000	4494000	
503	4251000	4011000	4371000	4011000	4371000	4491000	
504	4248000	4008000	4368000	4008000	4368000	4488000	
505	4245000	4005000	4365000	4005000	4365000	4485000	
506	4242000	4002000	4362000	4002000	4362000	4482000	
507	4239000	3999000	4359000	3999000	4359000	4479000	
508	4260000	3996000	4476000	3996000	4356000	4476000	
509	4257000	3993000	4473000	3993000	4353000	4473000	
510	4254000	3990000	4470000	3990000	4350000	4470000	
511	4275000	3987000	4467000	3987000	4467000	4467000	
512	4296000	3984000	4464000	4104000	4464000	4464000	
513	4317000	3981000	4581000	4101000	4461000	4461000	
514	4362000	3978000	4698000	4218000	4458000	4458000	
515	4359000	3975000	4695000	4215000	4455000	4455000	
516	4380000	3972000	4692000	4332000	4452000	4452000	
517	4377000	3969000	4689000	4329000	4449000	4449000	
518	4374000	3966000	4686000	4326000	4446000	4446000	
519	4419000	3963000	4683000	4443000	4563000	4443000	
520	4440000	4080000	4680000	4440000	4560000	4440000	
521	4437000	4077000	4677000	4437000	4557000	4437000	
522	4434000	4074000	4674000	4434000	4554000	4434000	
523	4455000	4071000	4671000	4551000	4551000	4431000	
524	4476000	4068000	4668000	4548000	4668000	4428000	
525	4473000	4065000	4665000	4545000	4665000	4425000	
526	4494000	4062000	4782000	4542000	4662000	4422000	
527	4491000	4059000	4779000	4539000	4659000	4419000	
528	4488000	4056000	4776000	4536000	4656000	4416000	
529	4485000	4053000	4773000	4533000	4653000	4413000	
530	4506000	4050000	4770000	4530000	4650000	4530000	
531	4503000	4047000	4767000	4527000	4647000	4527000	
532	4524000	4164000	4764000	4524000	4644000	4524000	
533	4545000	4161000	4761000	4641000	4641000	4521000	
534	4542000	4158000	4758000	4638000	4638000	4518000	
535	4563000	4155000	4755000	4635000	4755000	4515000	
536	4560000	4152000	4752000	4632000	4752000	4512000	
537	4581000	4149000	4749000	4629000	4749000	4629000	
538	4602000	4266000	4746000	4626000	4746000	4626000	
539	4599000	4263000	4743000	4623000	4743000	4623000	
540	4620000	4260000	4740000	4620000	4740000	4740000	
541	4665000	4377000	4737000	4617000	4857000	4737000	
542	4686000	4374000	4734000	4734000	4854000	4734000	
